Term	Term_Type	Gene_count	Gene_list
GO:0000015~phosphopyruvate hydratase complex	GOTERM_FAT_CC	5	
GO:0000109~nucleotide-excision repair complex	GOTERM_FAT_CC	18	
GO:0000110~nucleotide-excision repair factor 1 complex	GOTERM_FAT_CC	3	
GO:0000111~nucleotide-excision repair factor 2 complex	GOTERM_FAT_CC	1	
GO:0000112~nucleotide-excision repair factor 3 complex	GOTERM_FAT_CC	1	
GO:0000118~histone deacetylase complex	GOTERM_FAT_CC	70	
GO:0000120~RNA polymerase I transcription factor complex	GOTERM_FAT_CC	5	
GO:0000123~histone acetyltransferase complex	GOTERM_FAT_CC	89	
GO:0000124~SAGA complex	GOTERM_FAT_CC	23	
GO:0000125~PCAF complex	GOTERM_FAT_CC	4	
GO:0000126~transcription factor TFIIIB complex	GOTERM_FAT_CC	3	
GO:0000127~transcription factor TFIIIC complex	GOTERM_FAT_CC	7	
GO:0000137~Golgi cis cisterna	GOTERM_FAT_CC	13	
GO:0000138~Golgi trans cisterna	GOTERM_FAT_CC	13	
GO:0000139~Golgi membrane	GOTERM_FAT_CC	642	
GO:0000145~exocyst	GOTERM_FAT_CC	19	
GO:0000151~ubiquitin ligase complex	GOTERM_FAT_CC	354	
GO:0000152~nuclear ubiquitin ligase complex	GOTERM_FAT_CC	48	
GO:0000153~cytoplasmic ubiquitin ligase complex	GOTERM_FAT_CC	17	
GO:0000159~protein phosphatase type 2A complex	GOTERM_FAT_CC	18	
GO:0000164~protein phosphatase type 1 complex	GOTERM_FAT_CC	17	
GO:0000172~ribonuclease MRP complex	GOTERM_FAT_CC	9	
GO:0000176~nuclear exosome (RNase complex)	GOTERM_FAT_CC	15	
GO:0000177~cytoplasmic exosome (RNase complex)	GOTERM_FAT_CC	16	
GO:0000178~exosome (RNase complex)	GOTERM_FAT_CC	24	
GO:0000214~tRNA-intron endonuclease complex	GOTERM_FAT_CC	4	
GO:0000220~vacuolar proton-transporting V-type ATPase, V0 domain	GOTERM_FAT_CC	4	
GO:0000221~vacuolar proton-transporting V-type ATPase, V1 domain	GOTERM_FAT_CC	8	
GO:0000228~nuclear chromosome	GOTERM_FAT_CC	366	
GO:0000235~astral microtubule	GOTERM_FAT_CC	11	
GO:0000242~pericentriolar material	GOTERM_FAT_CC	24	
GO:0000243~commitment complex	GOTERM_FAT_CC	5	
GO:0000274~mitochondrial proton-transporting ATP synthase, stator stalk	GOTERM_FAT_CC	2	
GO:0000275~mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	GOTERM_FAT_CC	5	
GO:0000276~mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	GOTERM_FAT_CC	12	
GO:0000306~extrinsic component of vacuolar membrane	GOTERM_FAT_CC	4	
GO:0000307~cyclin-dependent protein kinase holoenzyme complex	GOTERM_FAT_CC	51	
GO:0000308~cytoplasmic cyclin-dependent protein kinase holoenzyme complex	GOTERM_FAT_CC	2	
