Term	Term_Type	Gene_count	Gene_list
GO:0000009~alpha-1,6-mannosyltransferase activity	GOTERM_FAT_MF	2	
GO:0000010~trans-hexaprenyltranstransferase activity	GOTERM_FAT_MF	2	
GO:0000014~single-stranded DNA endodeoxyribonuclease activity	GOTERM_FAT_MF	12	
GO:0000016~lactase activity	GOTERM_FAT_MF	1	
GO:0000026~alpha-1,2-mannosyltransferase activity	GOTERM_FAT_MF	4	
GO:0000030~mannosyltransferase activity	GOTERM_FAT_MF	25	
GO:0000033~alpha-1,3-mannosyltransferase activity	GOTERM_FAT_MF	3	
GO:0000035~acyl binding	GOTERM_FAT_MF	1	
GO:0000036~ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	GOTERM_FAT_MF	1	
GO:0000048~peptidyltransferase activity	GOTERM_FAT_MF	3	
GO:0000049~tRNA binding	GOTERM_FAT_MF	70	
GO:0000062~fatty-acyl-CoA binding	GOTERM_FAT_MF	26	
GO:0000064~L-ornithine transmembrane transporter activity	GOTERM_FAT_MF	6	
GO:0000095~S-adenosyl-L-methionine transmembrane transporter activity	GOTERM_FAT_MF	1	
GO:0000099~sulfur amino acid transmembrane transporter activity	GOTERM_FAT_MF	7	
GO:0000104~succinate dehydrogenase activity	GOTERM_FAT_MF	4	
GO:0000121~glycerol-1-phosphatase activity	GOTERM_FAT_MF	1	
GO:0000140~acylglycerone-phosphate reductase activity	GOTERM_FAT_MF	1	
GO:0000146~microfilament motor activity	GOTERM_FAT_MF	38	
GO:0000149~SNARE binding	GOTERM_FAT_MF	123	
GO:0000150~recombinase activity	GOTERM_FAT_MF	2	
GO:0000155~phosphorelay sensor kinase activity	GOTERM_FAT_MF	1	
GO:0000166~nucleotide binding	GOTERM_FAT_MF	2226	
GO:0000170~sphingosine hydroxylase activity	GOTERM_FAT_MF	1	
GO:0000171~ribonuclease MRP activity	GOTERM_FAT_MF	2	
GO:0000175~3'-5'-exoribonuclease activity	GOTERM_FAT_MF	29	
GO:0000179~rRNA (adenine-N6,N6-)-dimethyltransferase activity	GOTERM_FAT_MF	3	
GO:0000182~rDNA binding	GOTERM_FAT_MF	8	
GO:0000210~NAD+ diphosphatase activity	GOTERM_FAT_MF	3	
GO:0000213~tRNA-intron endonuclease activity	GOTERM_FAT_MF	2	
GO:0000215~tRNA 2'-phosphotransferase activity	GOTERM_FAT_MF	1	
GO:0000217~DNA secondary structure binding	GOTERM_FAT_MF	28	
GO:0000224~peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	GOTERM_FAT_MF	1	
GO:0000225~N-acetylglucosaminylphosphatidylinositol deacetylase activity	GOTERM_FAT_MF	1	
GO:0000246~delta24(24-1) sterol reductase activity	GOTERM_FAT_MF	1	
GO:0000247~C-8 sterol isomerase activity	GOTERM_FAT_MF	1	
GO:0000248~C-5 sterol desaturase activity	GOTERM_FAT_MF	1	
GO:0000250~lanosterol synthase activity	GOTERM_FAT_MF	1	
GO:0000252~C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	GOTERM_FAT_MF	1	
GO:0000253~3-keto sterol reductase activity	GOTERM_FAT_MF	7	
GO:0000254~C-4 methylsterol oxidase activity	GOTERM_FAT_MF	3	
GO:0000268~peroxisome targeting sequence binding	GOTERM_FAT_MF	6	
GO:0000285~1-phosphatidylinositol-3-phosphate 5-kinase activity	GOTERM_FAT_MF	1	
GO:0000287~magnesium ion binding	GOTERM_FAT_MF	233	
GO:0000293~ferric-chelate reductase activity	GOTERM_FAT_MF	3	
GO:0000295~adenine nucleotide transmembrane transporter activity	GOTERM_FAT_MF	15	
GO:0000298~endopolyphosphatase activity	GOTERM_FAT_MF	4	
GO:0000309~nicotinamide-nucleotide adenylyltransferase activity	GOTERM_FAT_MF	3	
GO:0000334~3-hydroxyanthranilate 3,4-dioxygenase activity	GOTERM_FAT_MF	1	
GO:0000339~RNA cap binding	GOTERM_FAT_MF	17	
GO:0000340~RNA 7-methylguanosine cap binding	GOTERM_FAT_MF	14	
GO:0000386~second spliceosomal transesterification activity	GOTERM_FAT_MF	1	
GO:0000400~four-way junction DNA binding	GOTERM_FAT_MF	18	
GO:0000401~open form four-way junction DNA binding	GOTERM_FAT_MF	1	
GO:0000402~crossed form four-way junction DNA binding	GOTERM_FAT_MF	1	
GO:0000403~Y-form DNA binding	GOTERM_FAT_MF	5	
GO:0000405~bubble DNA binding	GOTERM_FAT_MF	7	
GO:0000406~double-strand/single-strand DNA junction binding	GOTERM_FAT_MF	2	
GO:0000496~base pairing	GOTERM_FAT_MF	30	
GO:0000498~base pairing with RNA	GOTERM_FAT_MF	30	
GO:0000499~base pairing with mRNA	GOTERM_FAT_MF	29	
GO:0000700~mismatch base pair DNA N-glycosylase activity	GOTERM_FAT_MF	4	
GO:0000701~purine-specific mismatch base pair DNA N-glycosylase activity	GOTERM_FAT_MF	2	
GO:0000702~oxidized base lesion DNA N-glycosylase activity	GOTERM_FAT_MF	4	
GO:0000703~oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	GOTERM_FAT_MF	2	
GO:0000772~mating pheromone activity	GOTERM_FAT_MF	1	
GO:0000773~phosphatidyl-N-methylethanolamine N-methyltransferase activity	GOTERM_FAT_MF	2	
GO:0000774~adenyl-nucleotide exchange factor activity	GOTERM_FAT_MF	11	
GO:0000810~diacylglycerol diphosphate phosphatase activity	GOTERM_FAT_MF	3	
GO:0000822~inositol hexakisphosphate binding	GOTERM_FAT_MF	4	
GO:0000823~inositol-1,4,5-trisphosphate 6-kinase activity	GOTERM_FAT_MF	1	
GO:0000824~inositol tetrakisphosphate 3-kinase activity	GOTERM_FAT_MF	1	
GO:0000825~inositol tetrakisphosphate 6-kinase activity	GOTERM_FAT_MF	2	
GO:0000827~inositol-1,3,4,5,6-pentakisphosphate kinase activity	GOTERM_FAT_MF	4	
GO:0000828~inositol hexakisphosphate kinase activity	GOTERM_FAT_MF	8	
GO:0000829~inositol heptakisphosphate kinase activity	GOTERM_FAT_MF	2	
GO:0000831~inositol hexakisphosphate 6-kinase activity	GOTERM_FAT_MF	1	
GO:0000832~inositol hexakisphosphate 5-kinase activity	GOTERM_FAT_MF	5	
GO:0000900~translation repressor activity, nucleic acid binding	GOTERM_FAT_MF	13	
GO:0000901~translation repressor activity, non-nucleic acid binding	GOTERM_FAT_MF	1	
GO:0000944~base pairing with rRNA	GOTERM_FAT_MF	1	
GO:0000975~regulatory region DNA binding	GOTERM_FAT_MF	1500	
GO:0000976~transcription regulatory region sequence-specific DNA binding	GOTERM_FAT_MF	1493	
GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding	GOTERM_FAT_MF	1392	
GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	GOTERM_FAT_MF	1168	
GO:0000979~RNA polymerase II core promoter sequence-specific DNA binding	GOTERM_FAT_MF	23	
GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding	GOTERM_FAT_MF	1338	
GO:0000987~core promoter proximal region sequence-specific DNA binding	GOTERM_FAT_MF	1187	
GO:0000988~transcription factor activity, protein binding	GOTERM_FAT_MF	517	
GO:0000989~transcription factor activity, transcription factor binding	GOTERM_FAT_MF	498	
GO:0000990~transcription factor activity, core RNA polymerase binding	GOTERM_FAT_MF	20	
GO:0000992~polymerase III regulatory region sequence-specific DNA binding	GOTERM_FAT_MF	7	
GO:0000993~RNA polymerase II core binding	GOTERM_FAT_MF	37	
GO:0000994~RNA polymerase III core binding	GOTERM_FAT_MF	1	
GO:0000995~transcription factor activity, core RNA polymerase III binding	GOTERM_FAT_MF	11	
GO:0000996~core DNA-dependent RNA polymerase binding promoter specificity activity	GOTERM_FAT_MF	4	
GO:0001002~RNA polymerase III type 1 promoter sequence-specific DNA binding	GOTERM_FAT_MF	3	
GO:0001003~RNA polymerase III type 2 promoter sequence-specific DNA binding	GOTERM_FAT_MF	3	
GO:0001006~RNA polymerase III type 3 promoter sequence-specific DNA binding	GOTERM_FAT_MF	7	
GO:0001010~transcription factor activity, sequence-specific DNA binding transcription factor recruiting	GOTERM_FAT_MF	2	
GO:0001012~RNA polymerase II regulatory region DNA binding	GOTERM_FAT_MF	1392	
GO:0001013~RNA polymerase I regulatory region DNA binding	GOTERM_FAT_MF	10	
