GoTerms	lnc28143	lnc31620	lnc13683	lnc6236	lnc6166	lnc291	lnc762	lnc6222	lnc2936	lnc4220	lnc28062	lnc14977	lnc41523	lnc7423	lnc9418	lnc8999	lnc7290	lnc49383	lnc10258	lnc9193	lnc9264	lnc3235	lnc119	lnc979	lnc14443	lnc1966	lnc18831	lnc47443	lnc26316	lnc8224	lnc259	lnc20621	lnc42609	lnc45045	lnc937
Organic acid metabolic process	84.22201468584986	77.09901784029313	82.04239013603147	77.07486700707749	71.0905743225934	76.96684655833995	75.50018907397006	70.29442086964411	75.78202564308268	66.27113777351224	69.65388612314412	67.94198567258543	67.04667349973136	67.95426290382294	59.19189794929003	56.376253759106824	49.2432650666655	40.70190891956785	46.43919176314091	42.45797415402675	38.53249684483504	35.443924234953535	36.78904235859258	30.324244227468427	27.989272177060144	0	0	0	0	0	0	0	0	0	0
Small molecule catabolic process	59.55988150977551	55.61794930557004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monocarboxylic acid metabolic process	43.77910925552469	39.69963848641498	39.561193505916705	37.96954883522353	34.177965017851385	38.49055027795806	35.22691337092074	32.75837829202428	38.49536480799019	30.34250593063397	0	34.13749631623698	32.87031590720478	37.31538839409647	28.023390633913134	26.06212947371249	21.573333218404386	15.997565823735021	24.814072591428175	18.52499573369267	19.026032490003086	0	14.334560828557208	14.374054331557613	12.356950625633088	6.041795016955182	0	0	3.7961176806524817	0	0	0	0	0	0
Lipid metabolic process	0	0	0	0	0	0	0	0	0	0	31.607645443188705	0	0	0	0	0	0	0	0	0	0	8.086629059734733	0	0	0	0	0	0	0	0	0	0	0	0	0
Steroid metabolic process	24.067039827770827	0	13.197478586692554	16.670766951585456	17.645910204776662	16.866742720838282	13.087804967467129	0	19.76001228408821	0	0	0	10.270028440105616	0	8.00109583889244	14.22802295547619	11.94815063804122	0	13.255108120614524	0	0	0	0	6.868368804746189	0	0	0	0	0	0	0	0	0	0	0
Organic hydroxy compound metabolic process	0	18.423326656874124	0	0	0	0	0	10.23935206478262	20.916065925047178	11.52193174990045	16.793617437364887	18.862890013363838	11.188163245862311	15.892205628358377	9.036031427851196	0	0	0	0	0	10.790665632039945	3.3207599911247327	0	0	0	0	9.73474056030668	0	0	0	0	0	0	0	0
Small molecule biosynthetic process	25.01720619191737	21.298925770220237	18.310383875986393	21.968610664278984	19.78614341105377	22.0920300502169	14.81610178622962	17.61613389659782	22.145149259823587	19.358334857557594	18.85311971852234	21.702163271617383	17.436920780759053	22.398000785081305	14.133413793731343	14.847846070732157	14.110175916313109	9.100764653360445	9.855975267580357	10.083417488962045	12.860042946750722	7.783655557975961	8.767023032003966	0	5.005543576352762	0	4.550282671118938	0	0	0	0	0	0	0	0
Fatty acid metabolic process	27.131709064103713	0	0	22.9184100966281	0	21.919988792015058	19.525314941284712	0	0	16.28150675383834	0	18.219776641990062	0	0	0	15.117908872157482	0	0	0	0	10.354150925889895	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coenzyme metabolic process	23.005476897706124	23.033495454544404	26.014145350652502	24.078531680851974	19.393811338596905	0	0	0	26.75290575237885	22.113730909591197	21.764650098130016	23.645467226171764	23.76822331925398	0	0	21.80258942225759	0	0	14.140911015185724	0	0	0	0	0	0	6.370044769100572	0	0	0	0	0	0	0	0	0
Monocarboxylic acid catabolic process	0	0	23.96561748040122	0	23.935121736617543	0	0	21.497423482282468	0	0	19.867344813683513	0	0	0	14.21486398194549	0	0	0	12.658651025711565	0	0	5.25217392240483	0	8.455847252687361	0	0	0	0	0	0	0	0	0	0	0
