GoTerms	Organic acid metabolic process	Small molecule catabolic process	Monocarboxylic acid metabolic process	Lipid metabolic process	Steroid metabolic process	Organic hydroxy compound metabolic process	Small molecule biosynthetic process	Fatty acid metabolic process	Coenzyme metabolic process	Monocarboxylic acid catabolic process	Organonitrogen compound catabolic process	Alpha-amino acid catabolic process	Carboxylic acid metabolic process	Sulfur compound metabolic process	Dicarboxylic acid metabolic process	Cofactor metabolic process	Cellular hormone metabolic process	Xenobiotic metabolic process	Cell adhesion	Fatty acid beta-oxidation	Aromatic amino acid family metabolic process	Response to xenobiotic stimulus	Cellular amino acid metabolic process	Cellular amino acid biosynthetic process	Zymogen activation	Carboxylic acid biosynthetic process	Blood vessel development	Coenzyme biosynthetic process	One-carbon metabolic process	Nucleobase-containing small molecule metabolic process	Aromatic amino acid family catabolic process	Hormone metabolic process	Circulatory system development	Lipid biosynthetic process	Sulfur amino acid metabolic process	Aspartate family amino acid metabolic process	Glutamine family amino acid metabolic process	Protein processing	Liver development	Cellular modified amino acid metabolic process	Serine family amino acid metabolic process	Glutamate metabolic process	Locomotion	Primary alcohol metabolic process	Pteridine-containing compound metabolic process	Organic hydroxy compound catabolic process	Lipid homeostasis	Positive regulation of developmental process	Bile acid metabolic process	Regulation of cell differentiation	Response to hormone	Cellular aldehyde metabolic process	Angiogenesis	Response to oxygen-containing compound	Hexose metabolic process	Positive regulation of lipid metabolic process	Acute-phase response	Negative regulation of hydrolase activity	Acute inflammatory response	Arginine metabolic process	Aldehyde catabolic process	Lipid localization	Serine family amino acid biosynthetic process	Glycine metabolic process	Regulation of cytokine production	2'-deoxyribonucleotide metabolic process	L-phenylalanine metabolic process	Nucleobase catabolic process	Alcohol metabolic process	Connective tissue development	Response to glucocorticoid	Defense response to other organism	Organophosphate metabolic process	Fructose metabolic process	Thioester metabolic process	Retinol metabolic process	Glycosyl compound metabolic process	Organic cyclic compound catabolic process	Endothelial cell differentiation	Cysteine metabolic process	Response to endogenous stimulus	Acylglycerol homeostasis	Ammonium ion metabolic process	Monosaccharide metabolic process	Myeloid leukocyte activation	Vasculature development	Negative regulation of endopeptidase activity	Deoxyribonucleoside monophosphate catabolic process	Folic acid-containing compound metabolic process	Benzene-containing compound metabolic process	Vascular endothelial growth factor receptor signaling pathway	Heterocycle catabolic process	Deoxyribonucleoside monophosphate metabolic process	Cellular nitrogen compound catabolic process	Positive regulation of cytokine production	Contractile actin filament bundle assembly	Response to extracellular stimulus	Glycerol metabolic process
Organic acid metabolic process	1	0.5288888888888889	0.5930232558139535	0.3181818181818182	0.4311594202898551	0.35335689045936397	0.33195020746887965	0.41025641025641024	0.32894736842105265	0.41025641025641024	0.451063829787234	0.24561403508771928	0.34934497816593885	0.19823788546255505	0.12444444444444444	0.25327510917030566	0.19008264462809918	0.34523809523809523	0	0.23008849557522124	0.18584070796460178	0.09170305676855896	0.13777777777777778	0.09333333333333334	0.033210332103321034	0.11403508771929824	0	0.17903930131004367	0.07555555555555556	0.40458015267175573	0.3130434782608696	0.13559322033898305	0	0.18143459915611815	0.13333333333333333	0.07111111111111111	0.16740088105726872	0.008368200836820083	0.0641025641025641	0.3162393162393162	0.1688888888888889	0.04424778761061947	0	0.14957264957264957	0.07111111111111111	0.07456140350877193	0.19157088122605365	0	0.0881057268722467	0	0.2	0.08849557522123894	0	0.19172932330827067	0.11206896551724138	0.1350210970464135	0.016597510373443983	0.09454545454545454	0.01639344262295082	0.11894273127753303	0.03111111111111111	0.10646387832699619	0.04	0.06666666666666667	0	0.14473684210526316	0.044444444444444446	0.28448275862068967	0.11739130434782609	0	0.11885245901639344	0	0.3531746031746032	0.04424778761061947	0.08	0.1336206896551724	0.24347826086956523	0.13215859030837004	0	0.04888888888888889	0	0.116	0.2261904761904762	0.12552301255230125	0	0	0	0.06637168141592921	0.03111111111111111	0.14537444933920704	0	0.1894273127753304	0.08444444444444445	0.13777777777777778	0	0	0.08203125	0.034782608695652174
Small molecule catabolic process	0.5288888888888889	1	0.35555555555555557	0.19662921348314608	0.2510822510822511	0.1888412017167382	0.2573099415204678	0.28	0.31333333333333335	0.28	0.4873417721518987	0.3798449612403101	0.2608695652173913	0.22058823529411764	0.21487603305785125	0.2482758620689655	0.1165644171779141	0.2328042328042328	0	0.25547445255474455	0.21804511278195488	0.07462686567164178	0.20967741935483872	0.15702479338842976	0.029585798816568046	0.13846153846153847	0	0.16312056737588654	0.0967741935483871	0.3034825870646766	0.2564102564102564	0.0945945945945946	0	0.07407407407407407	0.22131147540983606	0.13445378151260504	0.2619047619047619	0.007462686567164179	0.0916030534351145	0.27044025157232704	0.28688524590163933	0.056910569105691054	0	0.13986013986013987	0.10655737704918032	0.112	0.13259668508287292	0	0.08461538461538462	0	0.13541666666666666	0.12	0	0.14673913043478262	0.09352517985611511	0.08666666666666667	0.014598540145985401	0.08333333333333333	0.02158273381294964	0.184	0.05	0.06321839080459771	0.07563025210084033	0.08064516129032258	0	0.12318840579710146	0.06611570247933884	0.28859060402684567	0.10218978102189781	0	0.11333333333333333	0	0.27717391304347827	0.04838709677419355	0.06201550387596899	0.08275862068965517	0.21621621621621623	0.1889763779527559	0	0.09243697478991597	0	0.06790123456790123	0.1534090909090909	0.07236842105263158	0	0	0	0.06299212598425197	0.05	0.15789473684210525	0	0.19708029197080293	0.104	0.20967741935483872	0	0	0.07547169811320754	0.03125
Monocarboxylic acid metabolic process	0.5930232558139535	0.35555555555555557	1	0.48936170212765956	0.5614035087719298	0.5087719298245614	0.3055555555555556	0.5561497326203209	0.2222222222222222	0.5478723404255319	0.336283185840708	0.14485981308411214	0.25	0.15346534653465346	0.07537688442211055	0.20388349514563106	0.29015544041450775	0.36363636363636365	0	0.26455026455026454	0.12254901960784313	0.11052631578947368	0.09595959595959595	0.050761421319796954	0.04329004329004329	0.11979166666666667	0	0.12682926829268293	0.03571428571428571	0.3881856540084388	0.22325581395348837	0.20526315789473684	0	0.28191489361702127	0.08542713567839195	0.046632124352331605	0.1188118811881188	0.01507537688442211	0.05	0.22272727272727272	0.10344827586206896	0.026041666666666668	0	0.21693121693121692	0.041237113402061855	0.10752688172043011	0.24770642201834864	0	0.10638297872340426	0	0.2127659574468085	0.11290322580645161	0	0.21929824561403508	0.14659685863874344	0.21693121693121692	0.019801980198019802	0.11965811965811966	0.024509803921568627	0.08585858585858586	0.03763440860215054	0.18867924528301888	0.015625	0.04145077720207254	0	0.1326530612244898	0.02617801047120419	0.23923444976076555	0.17204301075268819	0	0.13592233009708737	0	0.3422222222222222	0.047872340425531915	0.07936507936507936	0.16666666666666666	0.18181818181818182	0.10101010101010101	0	0.02072538860103627	0	0.14285714285714285	0.2796208530805687	0.15577889447236182	0	0	0.00510204081632653	0.06315789473684211	0.021164021164021163	0.08333333333333333	0	0.14356435643564355	0.06770833333333333	0.11282051282051282	0	0	0.0967741935483871	0.05851063829787234
Lipid metabolic process	0.3181818181818182	0.19662921348314608	0.48936170212765956	1	0.4426229508196721	0.45664739884393063	0.22580645161290322	0.45255474452554745	0.16216216216216217	0.5307692307692308	0.2138728323699422	0.06993006993006994	0.17105263157894737	0.175	0.016666666666666666	0.17293233082706766	0.31932773109243695	0.23809523809523808	0	0.2782608695652174	0.06201550387596899	0.16666666666666666	0.08695652173913043	0.017699115044247787	0.05673758865248227	0.10810810810810811	0	0.061068702290076333	0	0.2810810810810811	0.16326530612244897	0.2803738317757009	0	0.41904761904761906	0.05982905982905983	0.028037383177570093	0.05511811023622047	0.028037383177570093	0.07272727272727272	0.14193548387096774	0.07317073170731707	0.009615384615384616	0	0.26605504587155965	0	0.12871287128712872	0.2857142857142857	0	0.1485148514851485	0	0.18404907975460122	0.11650485436893204	0	0.16981132075471697	0.10434782608695652	0.33980582524271846	0.02702702702702703	0.1111111111111111	0.017391304347826087	0.0423728813559322	0.01	0.20300751879699247	0.00980392156862745	0.018691588785046728	0	0.1504424778761062	0.0196078431372549	0.15172413793103448	0.26	0	0.15447154471544716	0	0.2883435582822086	0.009615384615384616	0.13131313131313133	0.168141592920354	0.13970588235294118	0.07692307692307693	0	0.019417475728155338	0	0.1746031746031746	0.3088235294117647	0.11290322580645161	0	0	0.009615384615384616	0.047619047619047616	0	0.05737704918032787	0	0.10317460317460317	0.02727272727272727	0.06837606837606838	0	0	0.07352941176470588	0.08080808080808081
Steroid metabolic process	0.4311594202898551	0.2510822510822511	0.5614035087719298	0.4426229508196721	1	0.6994818652849741	0.26066350710900477	0.4175257731958763	0.17535545023696683	0.4175257731958763	0.23809523809523808	0.10628019323671498	0.20952380952380953	0.13612565445026178	0.03664921465968586	0.16	0.3390804597701149	0.3523809523809524	0	0.20540540540540542	0.12105263157894737	0.13372093023255813	0.08648648648648649	0.0213903743315508	0.07655502392344497	0.09340659340659341	0	0.1256544502617801	0.03888888888888889	0.33191489361702126	0.22277227722772278	0.24561403508771928	0	0.29310344827586204	0.0582010582010582	0.02197802197802198	0.06598984771573604	0.05084745762711865	0.060109289617486336	0.1990521327014218	0.061224489795918366	0.0111731843575419	0	0.25146198830409355	0.03910614525139665	0.11764705882352941	0.3333333333333333	0	0.12280701754385964	0	0.24537037037037038	0.09142857142857143	0	0.2358490566037736	0.1340782122905028	0.22988505747126436	0.03825136612021858	0.17142857142857143	0.04891304347826087	0.06989247311827956	0.017241379310344827	0.24210526315789474	0.0056179775280898875	0.01092896174863388	0	0.13186813186813187	0.04046242774566474	0.20297029702970298	0.18823529411764706	0	0.1657754010695187	0	0.3059360730593607	0.046242774566473986	0.056179775280898875	0.19540229885057472	0.17258883248730963	0.06315789473684211	0	0.0111731843575419	0	0.17277486910994763	0.4350282485875706	0.16939890710382513	0	0	0.016853932584269662	0.056818181818181816	0.017241379310344827	0.09042553191489362	0	0.11398963730569948	0.055865921787709494	0.08064516129032258	0	0	0.1326530612244898	0.06395348837209303
Organic hydroxy compound metabolic process	0.35335689045936397	0.1888412017167382	0.5087719298245614	0.45664739884393063	0.6994818652849741	1	0.2828282828282828	0.38421052631578945	0.1346153846153846	0.3915343915343915	0.19130434782608696	0.05853658536585366	0.21	0.10810810810810811	0.01639344262295082	0.1282051282051282	0.32335329341317365	0.32038834951456313	0	0.17222222222222222	0.0748663101604278	0.10909090909090909	0.08	0.011299435028248588	0.10362694300518134	0.10650887573964497	0	0.0797872340425532	0.011560693641618497	0.314410480349345	0.175	0.24074074074074073	0	0.32298136645962733	0.03296703296703297	0.017543859649122806	0.05319148936170213	0.06097560975609756	0.07058823529411765	0.14218009478672985	0.0425531914893617	0.018072289156626505	0	0.2392638036809816	0.011627906976744186	0.12658227848101267	0.3785310734463277	0	0.1320754716981132	0	0.24757281553398058	0.09146341463414634	0	0.2315270935960591	0.1437125748502994	0.2546583850931677	0.05325443786982249	0.18781725888324874	0.05847953216374269	0.05649717514124294	0.018518518518518517	0.2655367231638418	0.006024096385542169	0.005813953488372093	0	0.10227272727272728	0.024390243902439025	0.155	0.20253164556962025	0	0.15730337078651685	0	0.2803738317757009	0.049689440993788817	0.05389221556886228	0.18787878787878787	0.12307692307692308	0.04395604395604396	0	0.005952380952380952	0	0.2254335260115607	0.49382716049382713	0.18128654970760233	0	0	0.011976047904191617	0.041916167664670656	0.012269938650306749	0.0546448087431694	0	0.0913978494623656	0.029069767441860465	0.05	0	0	0.15384615384615385	0.07547169811320754
Small molecule biosynthetic process	0.33195020746887965	0.2573099415204678	0.3055555555555556	0.22580645161290322	0.26066350710900477	0.2828282828282828	1	0.25625	0.2608695652173913	0.2641509433962264	0.2619047619047619	0.16541353383458646	0.2765957446808511	0.1532258064516129	0.12727272727272726	0.234375	0.19548872180451127	0.1864406779661017	0	0.12878787878787878	0.15833333333333333	0.05217391304347826	0.17592592592592593	0.21875	0.055944055944055944	0.3020833333333333	0	0.21551724137931033	0.056074766355140186	0.27807486631016043	0.2536231884057971	0.13008130081300814	0	0.336283185840708	0.10526315789473684	0.07692307692307693	0.23636363636363636	0.027522935779816515	0.10091743119266056	0.17763157894736842	0.17543859649122806	0.038834951456310676	0	0.13821138211382114	0.06666666666666667	0.06422018348623854	0.2465753424657534	0	0.1346153846153846	0	0.19631901840490798	0.09345794392523364	0	0.20512820512820512	0.13157894736842105	0.21739130434782608	0.02654867256637168	0.1390728476821192	0.02586206896551724	0.21359223300970873	0.03	0.17391304347826086	0.06060606060606061	0.04716981132075472	0	0.1	0.0392156862745098	0.20714285714285716	0.13274336283185842	0	0.18032786885245902	0	0.2694610778443114	0.0594059405940594	0.08571428571428572	0.046875	0.12949640287769784	0.09401709401709402	0	0.049019607843137254	0	0.22950819672131148	0.2080536912751678	0.14754098360655737	0	0	0.009433962264150943	0.05660377358490566	0.03	0.1592920353982301	0	0.11904761904761904	0.045454545454545456	0.11403508771929824	0	0	0.12121212121212122	0.06862745098039216
Fatty acid metabolic process	0.41025641025641024	0.28	0.5561497326203209	0.45255474452554745	0.4175257731958763	0.38421052631578945	0.25625	1	0.17307692307692307	0.8421052631578947	0.2346368715083799	0.09333333333333334	0.17391304347826086	0.16030534351145037	0.0390625	0.18439716312056736	0.2537313432835821	0.2658959537572254	0	0.3739130434782609	0.08823529411764706	0.1206896551724138	0.0967741935483871	0.03278688524590164	0.02564102564102564	0.1452991452991453	0	0.07913669064748201	0.016666666666666666	0.3626373626373626	0.2052980132450331	0.184	0	0.3114754098360656	0.07142857142857142	0.025423728813559324	0.058394160583941604	0.008333333333333333	0.05737704918032787	0.15337423312883436	0.08333333333333333	0.008695652173913044	0	0.192	0.025423728813559324	0.10619469026548672	0.2733333333333333	0	0.13392857142857142	0	0.18604651162790697	0.11504424778761062	0	0.19393939393939394	0.15	0.27350427350427353	0.016260162601626018	0.10365853658536585	0.007874015748031496	0.05511811023622047	0.037037037037037035	0.20422535211267606	0.017857142857142856	0.043478260869565216	0	0.1015625	0.036036036036036036	0.17105263157894737	0.15126050420168066	0	0.10869565217391304	0	0.32335329341317365	0.04504504504504504	0.11818181818181818	0.144	0.14482758620689656	0.07874015748031496	0	0.017543859649122806	0	0.17777777777777778	0.30344827586206896	0.1640625	0	0	0	0.025423728813559324	0.009009009009009009	0.06060606060606061	0	0.08695652173913043	0.05084745762711865	0.07936507936507936	0	0	0.06802721088435375	0.05357142857142857
Coenzyme metabolic process	0.32894736842105265	0.31333333333333335	0.2222222222222222	0.16216216216216217	0.17535545023696683	0.1346153846153846	0.2608695652173913	0.17307692307692307	1	0.18064516129032257	0.29333333333333333	0.16101694915254236	0.19117647058823528	0.5432098765432098	0.09278350515463918	0.6666666666666666	0.06818181818181818	0.17791411042944785	0	0.1592920353982301	0.21	0.13186813186813187	0.17204301075268819	0.11235955056179775	0.023076923076923078	0.11458333333333333	0	0.29473684210526313	0.14457831325301204	0.27011494252873564	0.3135593220338983	0.05217391304347826	0	0.09917355371900827	0.27058823529411763	0.175	0.14563106796116504	0	0.04081632653061224	0.2777777777777778	0.27472527472527475	0.011363636363636364	0	0.07964601769911504	0.14634146341463414	0.0425531914893617	0.14685314685314685	0	0.07526881720430108	0	0.12025316455696203	0.07608695652173914	0	0.11842105263157894	0.11	0.07964601769911504	0.010309278350515464	0.06944444444444445	0.020202020202020204	0.13829787234042554	0.036585365853658534	0.051094890510948905	0.06097560975609756	0.1625	0	0.10679611650485436	0.03529411764705882	0.3130434782608696	0.0784313725490196	0	0.10526315789473684	0	0.29333333333333333	0.07228915662650602	0.18518518518518517	0.05454545454545454	0.20869565217391303	0.12244897959183673	0	0.12658227848101267	0	0.09090909090909091	0.087248322147651	0.08928571428571429	0	0	0	0.03296703296703297	0.08974358974358974	0.22826086956521738	0	0.18269230769230768	0.043010752688172046	0.1595744680851064	0	0	0.06557377049180328	0.03409090909090909
Monocarboxylic acid catabolic process	0.41025641025641024	0.28	0.5478723404255319	0.5307692307692308	0.4175257731958763	0.3915343915343915	0.2641509433962264	0.8421052631578947	0.18064516129032257	1	0.24858757062146894	0.09333333333333334	0.1962025316455696	0.16923076923076924	0.0390625	0.2014388489208633	0.2537313432835821	0.2303370786516854	0	0.3620689655172414	0.0962962962962963	0.13043478260869565	0.10569105691056911	0.03278688524590164	0.02564102564102564	0.15517241379310345	0	0.08695652173913043	0.016666666666666666	0.3701657458563536	0.2214765100671141	0.1935483870967742	0	0.3333333333333333	0.08	0.03418803418803419	0.0661764705882353	0.008333333333333333	0.06611570247933884	0.1393939393939394	0.0916030534351145	0.008695652173913044	0	0.20161290322580644	0.025423728813559324	0.12612612612612611	0.28187919463087246	0	0.12389380530973451	0	0.1791907514450867	0.125	0	0.17261904761904762	0.15	0.28448275862068967	0.016260162601626018	0.09696969696969697	0.007874015748031496	0.05511811023622047	0.037037037037037035	0.1875	0.017857142857142856	0.043478260869565216	0	0.1015625	0.036036036036036036	0.17880794701986755	0.19130434782608696	0	0.09285714285714286	0	0.3313253012048193	0.04504504504504504	0.11818181818181818	0.12598425196850394	0.14482758620689656	0.0873015873015873	0	0.017543859649122806	0	0.1865671641791045	0.2945205479452055	0.1640625	0	0	0	0.03418803418803419	0.009009009009009009	0.06870229007633588	0	0.0948905109489051	0.05084745762711865	0.07936507936507936	0	0	0.07534246575342465	0.05357142857142857
